URL,ITEM_ID,CATEGORY_ID,TITLE,IMAGES,SOLD_PRICE,BROWSE_COUNT,WANT_COUNT,COLLECT_COUNT,QUANTITY,GMT_CREATE,SELLER_ID
https://www.goofish.com/item?id=995598771021,,,ERROR_API,,,,,,,,
https://www.goofish.com/item?id=894551126004,894551126004,50025435,"(假一罚十)全新正品未拆封，相宜本草红景天香水30ml，保质期到2028年。低价出售，售出不退。2瓶起包邮。

适合男女通用，正常规格。有需要的朋友快来联系我吧！",http://img.alicdn.com/bao/uploaded/i4/O1CN01LXMeGQ1UHqQgXDpKn_!!4611686018427384701-0-fleamarket.jpg,39,802,28,23,10,1741012484000,2274202493
https://www.goofish.com/item?id=1013071198630,1013071198630,50025387,"95新苹果 MacBook Pro 22年 13寸/13英寸

95新Apple 苹果 MacBook Pro 22年 13寸 13英寸 深空灰色 M2（8+10核） 集显 8G 256G



下方真机照片就是本机，只要在上架的就是有货；机器详情请点击本页面顶部价格下的验货报告
【型号】 苹果 MacBook Pro 22年 13寸
【机身颜色】 深空灰色
【处理器】 M2（8+10核）
【显卡型号】 集显
【电池效率】 90%以上
【内存容量】 8G
【固态硬盘容量】 256G
【保修情况】 过保
【来源渠道】 国行
【屏幕尺寸】 13英寸
【适配器】 有
【退货周期】 7天
【发货时间】 付款后24小时内发货
【关于售后】 保修一年，支持7天无理由退货
【温馨提醒】 为了提供更好的购物体验，给予用户更多的选择，请您下单后30分钟内进行支付，超时未支付系统会自动关闭订单。如有需求可以再次选择喜欢的商品下单哦~
",http://img.alicdn.com/bao/uploaded/i3/O1CN01DB04Hq1Q2UlxKZ5hm_!!4611686018427382014-0-fleamarket.jpg,3949,119,0,0,1,1768537385000,2217517041918
https://www.goofish.com/item?id=1014811584144,1014811584144,50025435,"敷尔佳水杨酸杏仁酸焕肤面膜30g*2支

有效期：28.8.8

旗舰店购买有记录
店铺满50包邮",http://img.alicdn.com/bao/uploaded/i1/1119525544/O1CN017J7fTt1qpCuHOmX5L_!!4611686018427386536-53-xy_item.heic,30,109,1,1,1,1768563537000,1119525544
https://www.goofish.com/item?id=996125853785,996125853785,50025435,"出自用闲置阿玛尼红管唇釉208号色，秋冬限定款，橘色调平时不常用，大概8新且临期，所以才卖这么便宜。
色号208日出奶橘咖，秋冬很显白，日常通勤、约会都能用，很丝滑的质地，橘红色调偏橘。
天猫旗舰店购入，有购买记录，正品放心，只是底部标签掉了，支持验货～
56包邮（偏远地区补差价），售出不退不换！！",http://img.alicdn.com/bao/uploaded/i4/3016786876/O1CN01P2nspU20fGSEDLNW4_!!4611686018427380668-0-xy_item.jpg,35,254,4,8,1,1763649603000,3016786876
https://www.goofish.com/item?id=1000358674856,1000358674856,125960001,"Angry+molly系列Pts果冻贴Popmart泡泡玛特
共两张
有一张有褶皱便宜出 15
另一张20
打包30

售出不退不换",http://img.alicdn.com/bao/uploaded/i2/2261570326/O1CN01ORpdN11EHME8L4kwe_!!4611686018427384598-53-xy_item.heic,15,73,0,0,1,1765081691000,2261570326
https://www.goofish.com/item?id=1013982777393,1013982777393,50025387,"Samsung/三星 Galaxy Tab S9 8GB+128GB wifi版
【关于型号】Galaxy Tab S9
【关于版本】国行
【关于电池】正常
【关于内存】8+128
【关于颜色】R52X309CE5V
【关于保修】过保
【关于机身号】云雾金
【关于维修】无维修
【关于功能】无异常
【关于成色】真机实拍所见即所得
【关于配件】图中所展示配件
【能否还价】原装正品，良心实价
【商品来源】均由正规渠道回收
【关于运费】默认顺丰快递，全国包邮
【发货时间】付款后24小时内发货
【关于质保】保修365天，支持7天无理由退换 （系统软件问题不在质保范围）

经过详细质检，该机功能全部正常，机身可能存在有正常使用痕迹，外观请参考真机实拍图，商品检测拆修情况目前仅针对部件有第三方拆修情况进行检测对于厂家官方的维修因技术原因无法进行判断，检测结果详见验机报告。自带功能方面验货报告只针对异常项检测，机器详细参数配置及功能请参考官网。
【售后保障】>>签收当日起
•支持7天无理由退换货（防拆标需保留完整，撕毁标签不支持退换货，无私自拆装且不影响二次销售）
•描述不符包邮退/支持7天
无理由退货/365天保修
•支持1年质量保修（防拆标需保留完整。如人为损坏，进水，外力引起机器不开机，黑屏等，以及机器自然老化，电池损耗不在质保范围内）
尊敬的顾客，请注意以下退货政策：
若商品已在运输途中，而您决定退货或不再需要该商品，根据我们的退货规定，
您需自行承担所有运输费用，这包括商品从发货地点退回至我们仓库的所有相关费用。
一货一码一质检，均为实物拍摄，在架商品可直接下单购买，成色与质检结果详见验货报告。",http://img.alicdn.com/bao/uploaded/i1/O1CN01yvTnz11lrQkb7HGaF_!!4611686018427379784-0-fleamarket.jpg,1948,46,0,0,1,1768549318000,2216909004872
https://www.goofish.com/item?id=981163174700,981163174700,50023914,"❗️人物p图精修  写真修图 （我超专业） ❗️富士胶片干感 日系清新情侣照
高清质感❗️人物p图精修  写真修图 网红博主P图 高清质感 审美在线  美貌加倍 美商
不满意️可以修改
（普修只包括修皮肤 精修包括调整形状 妆容 滤镜 身材等等）
❗️自然 夸张 微处理 简单消除 人像P图 修图 精修 调色 人像精修 微调 妆容冷白皮~ 

❗️本人审美在线！！！！！！绝对可以还原你的美貌！！！

❗️各种自然微调或者高p都可以～夸张也可以！！ 超自然 不影响背景！！！！还不快冲！！！！
 
❗️发的照片请尽量高清 原图！！！尽量说出你的需求！！！可以节省时间！！！
本人超有耐心！！！！


单人写真精修7.99起+  婚纱照精修9.99起+ 多张都可以打折哈

（为什么比别家贵！手工修！手工修！手工修！）
（算个账:正常修图+后续沟通调整15-30分钟左右一张图 
so某些三五块一张影楼级精修 仁者见智了  ）

 【重点：不会压缩画质不糊图！】
 
态度超好 全天在线 用心修图 超有耐心！！！！

赶紧一键“想要”来找我还原美貌吧！！！！
可修改 虚拟商品不支持退款

【修完删图，绝对保护隐私】",http://img.alicdn.com/bao/uploaded/i3/O1CN0102K4t31wBiQUnjjYd_!!4611686018427387118-0-fleamarket.jpg,9.99,62,0,0,999,1759154139000,2790956270
https://www.goofish.com/item?id=1014740736560,1014740736560,50025387,"戴尔笔记本电脑十代i3 CPU
型号 5593
CPU 英特尔i3-1005G1
4G内存
128G固态硬盘
10代集成显卡相当于GTX950可玩英雄联盟
诚信卖家如实描述：
有划痕，掉漆，破损，照片实拍，放心购买
键盘,声音，wifi，触摸板，usb都正常使用
电池45%，破损见最后一图
私聊可咨询升级内存硬盘价格
1.机器有使用痕迹，有划痕，掉漆，硬件无问题，有问题包退
2.为保证质量机器在回收时都会拆机检查有无维修，无维修的原装机才会回收上架，保证硬件无问题，有瑕疵都会说明，请放心购买
#Dell/戴尔",http://img.alicdn.com/bao/uploaded/i2/4177613318/O1CN01dPwYgp1aNhGSHDMWI_!!4611686018427384326-0-xy_item.jpg,620,762,4,10,1,1768549569000,4177613318
https://www.goofish.com/item?id=856027427526,856027427526,50025395,"switch 健身环大冒险外版➕外版随机发 港版或日版或美版➕非国行！非国行！非国行！
配件齐全，包括原装健身环、绑带和游戏卡带。几乎全新，拍前请咨询，避免后期扯皮！！！
（收货后请录全程开箱视频 无视频不售后 无质量问题不退不换）
原装正品，发出后不退不换，偏远地区运费另算。有兴趣的朋友可以联系我哦，实价出售，不议价。",http://img.alicdn.com/bao/uploaded/i3/O1CN01dSvCkv1mC2TvG1nw1_!!4611686018427382901-0-fleamarket.jpg,255,23612,1341,273,83,1732340418000,2216424524917
